part_number,description,category,manufacturer,supplier,industry,lifecycle,unit_price_usd,quantity,total_cost_usd,lead_time_wks,last_updated
IFX-9099-D,Logic IC - STM series,Logic IC,STMicroelectronics,Avnet,Industrial Automation,NRND,75.327,4725,355920.08,16,2025-06-03
REN-5082-A,Power Management - Tex series,Power Management,Texas Instruments,Digi-Key,Industrial Automation,NRND,18.641,4253,79280.17,33,2026-04-30
IFX-3607-D,Passive Component - ROH series,Passive Component,ROHM,Digi-Key,Consumer Electronics,NRND,52.095,4145,215933.77,31,2025-08-18
ST-5451-C,Analog IC - Inf series,Analog IC,Infineon,Mouser,Renewable Energy,Obsolete,69.81,1969,137455.06,38,2025-10-12
TI-7797-D,Memory - STM series,Memory,STMicroelectronics,Mouser,Renewable Energy,Active,19.696,1261,24836.66,49,2026-02-05
MCH-1320-E,Sensor - ROH series,Sensor,ROHM,Digi-Key,Financial Services,Active,17.621,3451,60810.07,28,2025-07-30
REN-4613-D,Passive Component - Tex series,Passive Component,Texas Instruments,Avnet,Consumer Electronics,Active,64.058,3442,220487.64,38,2025-08-19
IFX-3091-E,Logic IC - ON  series,Logic IC,ON Semiconductor,Future Electronics,Automotive,Active,33.083,3322,109901.73,50,2026-03-02
TI-5262-D,Microcontroller - ON  series,Microcontroller,ON Semiconductor,Mouser,Industrial Automation,Active,54.652,1121,61264.89,33,2026-02-21
NXP-2341-D,Passive Component - ROH series,Passive Component,ROHM,Arrow Electronics,Medical,Active,64.716,3115,201590.34,21,2025-10-22
TI-5051-B,Microcontroller - Vis series,Microcontroller,Vishay,Arrow Electronics,Renewable Energy,Active,19.098,572,10924.06,45,2026-05-05
IFX-5198-C,Connectivity - NXP series,Connectivity,NXP,Avnet,Renewable Energy,Active,40.279,947,38144.21,40,2026-02-03
MCH-7149-D,Memory - STM series,Memory,STMicroelectronics,PT Solutions,Industrial Automation,Active,9.233,220,2031.26,23,2025-08-04
TI-1672-C,Connectivity - STM series,Connectivity,STMicroelectronics,Future Electronics,Financial Services,Active,59.277,2480,147006.96,47,2025-07-22
MCH-8532-B,Power Management - Mic series,Power Management,Microchip,Digi-Key,Industrial Automation,Obsolete,97.116,113,10974.07,49,2025-09-17
NXP-5022-A,Analog IC - Vis series,Analog IC,Vishay,Mouser,Financial Services,Obsolete,177.878,4418,785865.19,50,2025-09-29
ST-8988-B,Logic IC - Inf series,Logic IC,Infineon,Mouser,Consumer Electronics,Obsolete,141.981,3114,442128.2,43,2026-05-11
TI-4954-D,Analog IC - Mic series,Analog IC,Microchip,Digi-Key,Renewable Energy,Obsolete,166.422,2273,378277.49,53,2026-05-20
MCH-4986-C,Logic IC - Inf series,Logic IC,Infineon,PT Solutions,Renewable Energy,EOL,135.3,3681,498039.59,25,2026-04-08
NXP-6023-C,Logic IC - Mic series,Logic IC,Microchip,Avnet,Automotive,Obsolete,105.068,3495,367211.69,73,2025-08-17
MCH-8933-C,Passive Component - Inf series,Passive Component,Infineon,PT Solutions,Renewable Energy,Active,63.158,1526,96379.11,16,2026-02-04
ST-5952-A,Analog IC - Vis series,Analog IC,Vishay,PT Solutions,Renewable Energy,Active,70.782,2436,172424.95,18,2025-11-22
ST-9042-A,Analog IC - NXP series,Analog IC,NXP,Arrow Electronics,Renewable Energy,Active,82.816,4543,376233.09,22,2025-06-02
IFX-2869-A,Logic IC - Ren series,Logic IC,Renesas,Digi-Key,Financial Services,NRND,37.468,1520,56951.36,7,2026-01-16
ST-2940-E,Microcontroller - STM series,Microcontroller,STMicroelectronics,Digi-Key,Renewable Energy,Active,12.724,4620,58784.88,23,2026-04-12
NXP-1986-E,Sensor - Inf series,Sensor,Infineon,PT Solutions,Automotive,NRND,77.227,2445,188820.02,41,2025-10-18
REN-2229-B,Connectivity - Inf series,Connectivity,Infineon,Arrow Electronics,Financial Services,Active,56.153,1296,72774.29,19,2026-02-26
MCH-8438-A,Logic IC - ROH series,Logic IC,ROHM,PT Solutions,Industrial Automation,Active,2.823,2370,6690.51,49,2026-01-01
NXP-3330-A,Connectivity - Ren series,Connectivity,Renesas,Arrow Electronics,Industrial Automation,NRND,9.8,1851,18139.8,45,2026-03-10
NXP-9199-E,Analog IC - Ren series,Analog IC,Renesas,Digi-Key,Financial Services,NRND,10.614,2501,26545.61,48,2025-10-31
TI-4750-E,Microcontroller - STM series,Microcontroller,STMicroelectronics,Future Electronics,Automotive,NRND,62.449,4955,309434.79,20,2026-05-12
REN-8141-D,Microcontroller - Ren series,Microcontroller,Renesas,Arrow Electronics,Financial Services,Active,40.019,3632,145349.01,21,2026-02-22
IFX-9117-C,Sensor - Mic series,Sensor,Microchip,PT Solutions,Financial Services,Active,27.324,866,23662.58,14,2025-12-08
IFX-9431-A,Microcontroller - Vis series,Microcontroller,Vishay,PT Solutions,Renewable Energy,NRND,7.531,2077,15641.89,24,2026-03-27
MCH-8242-A,Sensor - ROH series,Sensor,ROHM,Avnet,Consumer Electronics,Active,15.985,2973,47523.4,43,2025-09-12
MCH-4920-B,Memory - Vis series,Memory,Vishay,Mouser,Renewable Energy,Active,37.268,3980,148326.64,11,2026-05-11
MCH-3522-D,Sensor - Tex series,Sensor,Texas Instruments,PT Solutions,Consumer Electronics,Active,19.138,939,17970.58,33,2026-03-26
REN-3369-D,Analog IC - Vis series,Analog IC,Vishay,Avnet,Renewable Energy,NRND,70.96,3878,275182.88,19,2025-10-04
NXP-1042-C,Memory - Vis series,Memory,Vishay,PT Solutions,Consumer Electronics,Active,23.517,3409,80169.45,25,2025-09-08
REN-7180-D,Memory - ROH series,Memory,ROHM,Mouser,Industrial Automation,NRND,45.802,2837,129940.27,25,2025-08-16
MCH-8749-D,Sensor - Inf series,Sensor,Infineon,Digi-Key,Medical,Active,72.768,3375,245592.0,6,2025-12-14
IFX-2633-E,Logic IC - NXP series,Logic IC,NXP,Digi-Key,Automotive,Active,10.775,4844,52194.1,25,2026-04-04
MCH-2315-C,Sensor - NXP series,Sensor,NXP,PT Solutions,Renewable Energy,EOL,193.456,622,120329.78,54,2026-01-10
MCH-5708-B,Passive Component - ON  series,Passive Component,ON Semiconductor,PT Solutions,Automotive,EOL,185.982,4007,745230.48,53,2026-05-07
TI-6314-A,Power Management - ON  series,Power Management,ON Semiconductor,Mouser,Consumer Electronics,EOL,193.602,833,161270.45,40,2026-03-01
ST-3785-B,Sensor - Mic series,Sensor,Microchip,Arrow Electronics,Renewable Energy,Active,20.795,3385,70391.08,40,2025-06-10
MCH-5161-D,Connectivity - ON  series,Connectivity,ON Semiconductor,Mouser,Medical,NRND,77.595,1182,91717.29,18,2025-10-01
NXP-5901-D,Logic IC - Tex series,Logic IC,Texas Instruments,PT Solutions,Consumer Electronics,Active,57.613,1304,75127.35,8,2025-10-11
IFX-6881-E,Analog IC - ROH series,Analog IC,ROHM,Mouser,Medical,Active,84.947,3968,337069.7,10,2026-01-24
REN-9138-C,Microcontroller - Ren series,Microcontroller,Renesas,Avnet,Renewable Energy,EOL,116.033,76,8818.52,49,2025-06-08
MCH-2591-A,Connectivity - Mic series,Connectivity,Microchip,Mouser,Financial Services,EOL,51.881,2063,107030.58,59,2025-06-22
REN-6994-E,Passive Component - Tex series,Passive Component,Texas Instruments,Future Electronics,Consumer Electronics,EOL,21.743,2427,52770.58,36,2025-10-25
TI-8673-A,Analog IC - NXP series,Analog IC,NXP,Avnet,Industrial Automation,NRND,82.229,2427,199569.78,51,2025-12-03
TI-8451-C,Passive Component - ON  series,Passive Component,ON Semiconductor,PT Solutions,Medical,Active,67.218,124,8335.03,20,2025-08-24
REN-4626-A,Sensor - Ren series,Sensor,Renesas,PT Solutions,Financial Services,EOL,214.103,897,192049.95,65,2026-01-26
TI-2592-B,Sensor - Ren series,Sensor,Renesas,Future Electronics,Industrial Automation,Active,11.924,314,3744.14,23,2025-09-15
MCH-3531-D,Logic IC - ON  series,Logic IC,ON Semiconductor,PT Solutions,Automotive,Active,57.008,4435,252830.48,30,2025-07-29
IFX-4868-C,Sensor - ROH series,Sensor,ROHM,Arrow Electronics,Medical,Active,2.829,3045,8614.31,17,2025-10-10
TI-4475-E,Passive Component - Mic series,Passive Component,Microchip,Arrow Electronics,Automotive,Active,33.872,1564,52975.81,11,2025-10-05
ST-4538-B,Connectivity - Mic series,Connectivity,Microchip,Mouser,Industrial Automation,Active,66.904,1691,113134.66,8,2025-08-15
TI-1422-B,Analog IC - Tex series,Analog IC,Texas Instruments,Arrow Electronics,Consumer Electronics,Active,83.94,4435,372273.9,20,2026-02-25
REN-2862-A,Passive Component - Inf series,Passive Component,Infineon,Digi-Key,Financial Services,Active,14.852,439,6520.03,12,2025-10-22
REN-5941-D,Power Management - Mic series,Power Management,Microchip,PT Solutions,Automotive,NRND,42.851,365,15640.61,50,2025-06-22
IFX-2204-A,Logic IC - Tex series,Logic IC,Texas Instruments,Mouser,Renewable Energy,NRND,36.262,894,32418.23,35,2025-05-26
NXP-7240-E,Power Management - NXP series,Power Management,NXP,Future Electronics,Consumer Electronics,Active,23.413,4805,112499.46,39,2025-05-26
REN-4522-D,Sensor - ROH series,Sensor,ROHM,Digi-Key,Industrial Automation,Active,67.424,947,63850.53,45,2025-06-26
NXP-5176-C,Passive Component - ON  series,Passive Component,ON Semiconductor,Avnet,Medical,NRND,33.922,788,26730.54,24,2025-10-19
MCH-7105-B,Power Management - ROH series,Power Management,ROHM,Future Electronics,Automotive,Active,70.709,773,54658.06,31,2026-04-06
NXP-6119-C,Passive Component - Vis series,Passive Component,Vishay,Arrow Electronics,Renewable Energy,EOL,38.295,2906,111285.8,55,2025-10-21
REN-7022-A,Connectivity - Vis series,Connectivity,Vishay,Mouser,Renewable Energy,Active,55.84,1847,103136.48,10,2025-11-27
TI-3955-C,Sensor - Inf series,Sensor,Infineon,PT Solutions,Consumer Electronics,Obsolete,316.666,4570,1447162.3,21,2025-07-18
IFX-2140-B,Passive Component - Mic series,Passive Component,Microchip,PT Solutions,Medical,Active,15.46,1183,18289.18,40,2025-06-23
NXP-6314-E,Power Management - Tex series,Power Management,Texas Instruments,Future Electronics,Automotive,EOL,106.121,3091,328020.96,49,2025-10-05
NXP-8259-D,Memory - Tex series,Memory,Texas Instruments,Digi-Key,Renewable Energy,Active,64.139,417,26745.96,47,2026-04-14
IFX-2816-C,Sensor - ROH series,Sensor,ROHM,PT Solutions,Medical,Active,18.363,4207,77253.14,11,2025-11-30
ST-5938-B,Analog IC - ROH series,Analog IC,ROHM,Avnet,Consumer Electronics,Active,18.783,4919,92393.58,7,2026-05-22
IFX-9725-B,Passive Component - Ren series,Passive Component,Renesas,Future Electronics,Renewable Energy,Active,0.707,3537,2500.66,15,2026-03-20
IFX-2275-C,Power Management - Mic series,Power Management,Microchip,Future Electronics,Financial Services,NRND,73.257,356,26079.49,31,2026-05-16
REN-8538-C,Sensor - ON  series,Sensor,ON Semiconductor,Arrow Electronics,Financial Services,Active,9.834,180,1770.12,24,2026-02-27
NXP-6562-B,Connectivity - STM series,Connectivity,STMicroelectronics,Mouser,Industrial Automation,NRND,50.075,4302,215422.65,9,2025-11-04
TI-3399-C,Power Management - STM series,Power Management,STMicroelectronics,Avnet,Industrial Automation,Obsolete,153.425,2872,440637.71,41,2025-06-29
REN-8354-E,Power Management - NXP series,Power Management,NXP,PT Solutions,Medical,Active,80.862,4057,328057.13,33,2025-08-10
NXP-5500-E,Passive Component - Mic series,Passive Component,Microchip,Arrow Electronics,Consumer Electronics,Active,37.408,3851,144058.21,32,2025-07-06
NXP-2257-A,Power Management - Vis series,Power Management,Vishay,Future Electronics,Renewable Energy,Active,39.275,318,12489.45,7,2025-11-18
MCH-4084-C,Sensor - Vis series,Sensor,Vishay,Future Electronics,Financial Services,NRND,49.349,346,17074.75,32,2025-08-06
REN-3827-A,Memory - Vis series,Memory,Vishay,Avnet,Medical,Active,38.322,2823,108183.01,49,2026-04-12
IFX-6543-E,Logic IC - ROH series,Logic IC,ROHM,Arrow Electronics,Medical,Obsolete,168.707,1310,221006.55,47,2025-11-16
MCH-3463-C,Power Management - Mic series,Power Management,Microchip,Arrow Electronics,Renewable Energy,Active,8.078,3176,25655.73,22,2026-01-16
MCH-2388-C,Passive Component - NXP series,Passive Component,NXP,Future Electronics,Financial Services,Active,82.256,3220,264864.32,12,2025-07-25
NXP-1298-C,Memory - Mic series,Memory,Microchip,Mouser,Industrial Automation,EOL,189.79,4322,820273.47,33,2025-06-29
NXP-2657-E,Passive Component - Inf series,Passive Component,Infineon,Future Electronics,Medical,NRND,16.361,1136,18586.1,13,2026-04-16
MCH-3712-D,Microcontroller - Vis series,Microcontroller,Vishay,Arrow Electronics,Financial Services,EOL,54.038,1083,58523.63,55,2025-11-14
ST-6070-D,Connectivity - Mic series,Connectivity,Microchip,Avnet,Consumer Electronics,NRND,51.92,3687,191429.04,18,2025-08-25
ST-4271-E,Logic IC - ROH series,Logic IC,ROHM,Avnet,Consumer Electronics,Active,66.152,4129,273141.61,37,2025-10-23
TI-5670-A,Logic IC - Tex series,Logic IC,Texas Instruments,Avnet,Consumer Electronics,Active,47.158,850,40084.3,49,2025-09-03
TI-7797-A,Memory - ROH series,Memory,ROHM,Digi-Key,Renewable Energy,NRND,7.841,1828,14333.35,32,2025-11-28
NXP-2623-C,Connectivity - Mic series,Connectivity,Microchip,Avnet,Industrial Automation,NRND,84.535,3081,260452.33,18,2026-05-11
IFX-8349-E,Analog IC - Tex series,Analog IC,Texas Instruments,Arrow Electronics,Automotive,NRND,59.181,1146,67821.43,52,2025-05-29
REN-7934-A,Analog IC - Tex series,Analog IC,Texas Instruments,Mouser,Industrial Automation,Active,70.98,4505,319764.9,50,2025-07-18
IFX-9782-A,Power Management - Ren series,Power Management,Renesas,PT Solutions,Renewable Energy,Active,20.305,3754,76224.97,8,2026-03-30
IFX-4068-A,Memory - Inf series,Memory,Infineon,Future Electronics,Consumer Electronics,Active,36.514,2900,105890.6,19,2025-08-06
NXP-5155-A,Microcontroller - STM series,Microcontroller,STMicroelectronics,Mouser,Automotive,NRND,74.24,366,27171.84,44,2025-11-08
REN-6546-B,Connectivity - Mic series,Connectivity,Microchip,PT Solutions,Financial Services,EOL,102.441,859,87996.66,60,2025-12-06
ST-1717-B,Memory - ROH series,Memory,ROHM,Arrow Electronics,Consumer Electronics,Active,5.41,3759,20336.19,6,2025-12-26
TI-6438-C,Sensor - Ren series,Sensor,Renesas,Arrow Electronics,Consumer Electronics,Obsolete,79.634,309,24607.04,71,2025-06-28
NXP-9507-C,Sensor - ON  series,Sensor,ON Semiconductor,Arrow Electronics,Medical,EOL,102.511,3177,325678.86,48,2026-02-19
NXP-2680-A,Power Management - ON  series,Power Management,ON Semiconductor,Mouser,Medical,NRND,51.228,1488,76227.26,38,2025-12-26
IFX-6759-D,Analog IC - Ren series,Analog IC,Renesas,Arrow Electronics,Medical,NRND,51.243,3500,179350.5,14,2025-06-06
MCH-7655-C,Sensor - Mic series,Sensor,Microchip,Future Electronics,Medical,Active,54.373,479,26044.67,8,2025-06-16
TI-4866-C,Microcontroller - NXP series,Microcontroller,NXP,Mouser,Financial Services,Active,72.144,3599,259646.26,6,2026-03-22
REN-7012-D,Memory - Tex series,Memory,Texas Instruments,Mouser,Medical,EOL,130.417,3048,397509.54,39,2025-10-10
IFX-2929-C,Connectivity - Ren series,Connectivity,Renesas,Mouser,Medical,Active,2.251,1534,3453.03,35,2025-09-02
IFX-3828-D,Connectivity - ROH series,Connectivity,ROHM,Arrow Electronics,Medical,Obsolete,44.714,4033,180331.14,26,2026-03-24
NXP-9335-B,Passive Component - Mic series,Passive Component,Microchip,Arrow Electronics,Industrial Automation,EOL,20.199,4451,89907.22,35,2025-12-23
IFX-3126-E,Connectivity - NXP series,Connectivity,NXP,Arrow Electronics,Automotive,NRND,2.283,4548,10383.08,40,2025-11-18
ST-6194-A,Sensor - Ren series,Sensor,Renesas,Digi-Key,Financial Services,EOL,217.479,4316,938639.98,40,2025-10-28
ST-3114-D,Passive Component - Vis series,Passive Component,Vishay,Future Electronics,Automotive,Active,74.633,4526,337788.96,44,2025-07-29
NXP-9501-C,Memory - STM series,Memory,STMicroelectronics,Arrow Electronics,Consumer Electronics,Active,14.038,2653,37242.81,49,2026-01-30
MCH-3762-E,Analog IC - Inf series,Analog IC,Infineon,Future Electronics,Industrial Automation,Active,53.146,4380,232779.48,9,2025-09-10
MCH-4453-E,Passive Component - NXP series,Passive Component,NXP,Digi-Key,Renewable Energy,Obsolete,13.739,242,3324.95,25,2026-05-02
NXP-8430-A,Logic IC - Tex series,Logic IC,Texas Instruments,PT Solutions,Automotive,EOL,162.933,2484,404726.29,54,2026-01-20
ST-6121-C,Logic IC - NXP series,Logic IC,NXP,PT Solutions,Consumer Electronics,NRND,41.187,1681,69235.35,25,2025-07-19
IFX-3007-C,Memory - ON  series,Memory,ON Semiconductor,Digi-Key,Industrial Automation,Active,43.798,879,38498.44,24,2026-01-22
ST-3616-C,Power Management - NXP series,Power Management,NXP,Future Electronics,Medical,Active,24.704,3156,77965.82,43,2025-10-23
NXP-9148-A,Connectivity - Mic series,Connectivity,Microchip,Arrow Electronics,Financial Services,Active,42.378,4226,179089.43,33,2025-09-12
NXP-9108-E,Logic IC - Vis series,Logic IC,Vishay,PT Solutions,Medical,Active,18.327,2900,53148.3,7,2026-04-30
IFX-6995-A,Analog IC - ROH series,Analog IC,ROHM,Digi-Key,Automotive,Obsolete,2.761,890,2457.36,50,2026-03-18
IFX-5582-E,Connectivity - Vis series,Connectivity,Vishay,PT Solutions,Renewable Energy,Active,47.046,612,28792.15,28,2025-09-09
ST-4261-E,Memory - STM series,Memory,STMicroelectronics,Future Electronics,Financial Services,Active,33.512,2787,93397.94,39,2025-11-19
IFX-3440-E,Microcontroller - Vis series,Microcontroller,Vishay,Future Electronics,Industrial Automation,Active,3.356,2738,9188.73,34,2025-09-02
REN-9351-E,Passive Component - Mic series,Passive Component,Microchip,Digi-Key,Medical,Active,33.431,2461,82273.69,41,2025-12-04
NXP-1436-E,Logic IC - Ren series,Logic IC,Renesas,Digi-Key,Consumer Electronics,Active,31.342,907,28427.19,30,2025-07-31
ST-4968-A,Microcontroller - Inf series,Microcontroller,Infineon,Future Electronics,Medical,Obsolete,140.43,4304,604409.7,64,2025-07-12
MCH-4340-D,Connectivity - STM series,Connectivity,STMicroelectronics,Future Electronics,Renewable Energy,Active,37.516,3440,129055.04,13,2025-10-26
REN-7173-C,Microcontroller - ROH series,Microcontroller,ROHM,Avnet,Financial Services,EOL,47.065,1708,80386.54,62,2025-12-10
NXP-5890-B,Passive Component - Vis series,Passive Component,Vishay,Mouser,Consumer Electronics,Obsolete,59.711,2175,129871.36,58,2025-09-20
NXP-2996-E,Logic IC - Inf series,Logic IC,Infineon,PT Solutions,Renewable Energy,Active,40.809,4601,187762.21,50,2026-01-05
NXP-2294-C,Sensor - ON  series,Sensor,ON Semiconductor,Digi-Key,Medical,Active,81.144,1209,98103.1,22,2026-05-04
MCH-5450-B,Logic IC - Ren series,Logic IC,Renesas,Arrow Electronics,Renewable Energy,Active,17.216,4422,76129.15,21,2025-08-11
ST-1860-A,Connectivity - Inf series,Connectivity,Infineon,Digi-Key,Consumer Electronics,Active,56.952,4360,248310.72,18,2025-07-03
IFX-4267-C,Power Management - ROH series,Power Management,ROHM,Mouser,Consumer Electronics,EOL,164.949,52,8577.35,62,2026-03-06
IFX-3880-A,Power Management - Tex series,Power Management,Texas Instruments,Digi-Key,Financial Services,EOL,184.701,4393,811391.66,64,2026-05-06
NXP-5662-D,Analog IC - NXP series,Analog IC,NXP,PT Solutions,Renewable Energy,Active,0.837,4662,3902.09,42,2026-04-01
TI-6417-B,Logic IC - Vis series,Logic IC,Vishay,PT Solutions,Financial Services,Active,72.348,3844,278105.71,21,2026-02-16
ST-3875-E,Memory - Ren series,Memory,Renesas,PT Solutions,Financial Services,Active,62.626,2426,151930.68,40,2025-06-14
IFX-6301-B,Passive Component - ON  series,Passive Component,ON Semiconductor,Arrow Electronics,Consumer Electronics,Active,34.101,791,26973.89,15,2026-03-15
MCH-1187-C,Connectivity - ON  series,Connectivity,ON Semiconductor,PT Solutions,Consumer Electronics,NRND,64.082,2710,173662.22,23,2025-07-31
MCH-2923-C,Microcontroller - Inf series,Microcontroller,Infineon,Mouser,Renewable Energy,EOL,32.451,2523,81873.5,31,2025-10-30
NXP-7813-E,Connectivity - Inf series,Connectivity,Infineon,Digi-Key,Renewable Energy,Active,40.672,3737,151991.26,51,2025-07-19
TI-2838-A,Connectivity - Inf series,Connectivity,Infineon,Future Electronics,Renewable Energy,EOL,180.973,680,123061.69,56,2025-10-09
MCH-4365-E,Memory - Inf series,Memory,Infineon,Digi-Key,Automotive,Active,27.924,4272,119291.33,32,2026-03-27
REN-1945-E,Logic IC - Vis series,Logic IC,Vishay,Digi-Key,Medical,Active,38.569,4214,162529.77,30,2025-10-04
REN-2196-A,Microcontroller - Ren series,Microcontroller,Renesas,Digi-Key,Consumer Electronics,NRND,21.666,34,736.64,51,2026-02-03
IFX-3948-B,Microcontroller - STM series,Microcontroller,STMicroelectronics,PT Solutions,Medical,Active,83.822,3877,324977.89,6,2025-12-30
MCH-9835-B,Passive Component - ON  series,Passive Component,ON Semiconductor,PT Solutions,Consumer Electronics,NRND,38.153,3102,118350.61,28,2026-04-14
NXP-8585-E,Memory - STM series,Memory,STMicroelectronics,Digi-Key,Renewable Energy,Obsolete,119.951,1053,126308.49,58,2026-01-31
MCH-2848-A,Connectivity - ON  series,Connectivity,ON Semiconductor,PT Solutions,Financial Services,Active,39.18,1280,50150.4,21,2026-02-18
REN-1797-B,Connectivity - Tex series,Connectivity,Texas Instruments,PT Solutions,Automotive,Active,5.766,4875,28109.25,6,2025-10-09
NXP-4836-E,Logic IC - ON  series,Logic IC,ON Semiconductor,Mouser,Renewable Energy,Active,45.903,472,21666.22,12,2025-09-10
NXP-5508-A,Connectivity - Mic series,Connectivity,Microchip,Future Electronics,Renewable Energy,Active,74.488,4280,318808.64,18,2025-10-26
